ID, Group, Gender, Age, Ethnicity, Education, GPA, #Courses, Session duration, Reading duration, #Subgoals validated, #Subgoals attempted, Worked without subgoal, #Note Taking, #Note Checking, #Summaries added to notes, Note Taking Duration, Note Checking Duration, #PLAN, #SUMM, #MPTG, #PKA, #JOL, #FOK, #CE, #INF, #DEPENDS, Mean # of SRL processes per relevant page while on SG1, Mean # of SRL processes per relevant page to SG0 at anytime in the session (NB: some processes can end up being counted multiple times), Mean # of SRL processes per relevant page to SG1 at anytime in the session (NB: some processes can end up being counted multiple times), DurationDay2InSecs, TimeSpentWithContentOverall, TimePageRelSG, TimePageIrrelSG, TotalTimeWithRelTextContent, TotalTimeWithRelFullContent, TotalTimeWithIrrelTextContent, TotalTimeWithIrrelFullContent, NumberSG, TotalTimeSettingSG, TimePaperNotes, TimeINF, RatioPagesRelevantToInitialSubgoal1ReadWhenSubgoal1Active, RatioPagesRelevantToInitialSubgoal2ReadWhenSubgoal2Active, RatioPagesRelevantToInitialSubgoal1ReadAtAnytime, RatioPagesRelevantToInitialSubgoal2ReadAtAnytime, ImagesOpened_num, 
MT208PN41016,1,1,18,2,1,3.37,2,4327,3510,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0, ?,0.125,0.166666667,4269,0.94224023,0.445264013,0.417948662,0.284444997,0.100932443,0.058232445,0,2,0.000117349,0,0,0.631578947,0,0.684210526,0.785714286,9, 
MT208PN41017,1,1,19,1,1,3.46,0,4885,3693,0,1,0,0,2,0,0,297,2,0,0,0,0,0,0,0,0, ?,0.3,0.1,4947,0.910699917,0.397196493,0.334699512,0.049758104,0.347438389,0,0.26742424,2,0.000189191,0,0,0.571428571,0,0.571428571,0.45,21, 
MT208PN41018,2,1,21,1,2,2.7,0,4643,2879,0,1,0,12,0,0,1279,0,2,1,1,3,0,0,0,0,0, ?,1.545454545,0,4767,0.878193626,0.632316595,0.010321845,0.356634909,0.266343464,0.00034088,0.004556044,2,0.000124605,0,0,0.473684211,0,0.473684211,0,7, 
MT208PN41019,2,1,22,2,4,3.57,0,4593,3144,0,1,0,6,0,0,931,0,2,2,0,4,4,0,0,0,0, ?,1.166666667,0.2,4393,0.960262849,0.482569205,0.302231273,0.364130932,0.057744929,0.006387324,0.020279064,2,0.000129963,0,0,0.733333333,0,0.8,0.909090909,9, 
MT208PN41020,1,1,21,2,3,3.64,0,4546,3473,2,2,1,16,1,0,1318,4,4,0,2,0,0,1,0,0,0,1,1.2,0.545454545,4558,0.917431237,0.123120087,0.677957038,0.123120087,0,0,0.283282167,2,0.00014433,0,0,0.4,0,0.8,0.818181818,17, 
MT208PN41023,1,1,19,4,1,3.67,0,4490,2896,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0, ?,0.083333333,0.125,4505,0.928097613,0.483221555,0.331394479,0.145175454,0.338046102,0,0.232883381,2,0.000130742,0.162104395,0,0.642857143,0,0.642857143,0.777777778,21, 
MT208PN41024,2,1,21,2,2,3.7,1,4556,1365,1,3,1,0,0,0,0,0,4,0,2,5,4,0,0,0,0,0.5,0.6,0.583333333,4455,0.906027992,0.433833317,0.295614536,0.411741018,0,0.032091441,0.014881432,3,0.000184957,0.401822009,0,0.818181818,0.071428571,0.909090909,0.857142857,3, 
MT208PN41027,1,1,19,2,1,2.9,0,4396,2992,3,4,1,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0.2,0.444444444,0.466666667,4655,0.865326231,0.681368454,0.096105524,0.379663353,0.292459101,0.001933052,0.054488642,4,0.000197386,0.062640965,0,0.272727273,0.105263158,0.818181818,0.789473684,18, 
MT208PN41029,1,1,20,2,2,3,0,4324,1380,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0, ?,0.333333333,0.1,4755,0.847484762,0.358393323,0.414366966,0.301643276,0.056750047,0,0.262961237,2,0.000174333,0.388814819,0,0.454545455,0,0.545454545,0.5,6, 
MT208PN41030,2,1,21,2,3,3.2,2,5095,2715,0,1,0,0,0,1,0,0,2,1,1,2,0,0,2,0,2, ?,1.5,0.5,4769,0.941655401,0.321468286,0.344081887,0.247739059,0.073729227,0,0.037764671,2,0.000141728,0.17915125,0,0.8,0,0.8,0.181818182,5, 
MT208PN41032,2,1,19,2,1,3.96,1,4519,2637,0,2,0,0,0,2,0,0,4,3,0,3,1,0,0,0,0,1.25,0.9,1.2,4680,0.853233716,0.45620604,0.178758839,0.286772274,0.169433766,0,0.101075605,2,0.000192919,0,0,0.214285714,0.272727273,0.642857143,0.454545455,8, 
MT208PN41033,2,1,21,2,3,3.5,1,4508,3254,0,1,0,15,0,1,1788,0,3,1,3,3,2,1,1,0,0, ?,2.083333333,1.7,4394,0.934553738,0.731639312,0.053773855,0.523344132,0.197216007,0.006054997,0.046797944,2,0.000145635,0,0,0.857142857,0,0.857142857,0.526315789,10, 
MT208PN41035,2,1,21,2,4,3.3,1,4609,3240,1,2,1,11,0,1,908,0,3,1,2,4,4,0,0,0,1,1.857142857,1,1.363636364,4565,0.906773996,0.51058363,0.214101168,0.281940128,0.228643501,0,0.032984014,2,0.000126379,0,0,0.2,0.466666667,0.55,0.666666667,9, 
MT208PN41036,1,1,19,2,2,3.57,1,4323,3472,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0, ?,0.142857143,0.133333333,4517,0.879601778,0.348706184,0.461332059,0.267750747,0.04199033,0.000217811,0.003053999,2,0.000127942,0,0,1,0,1,1,5, 
MT208PN41037,1,1,20,1,4,3.5,1,4748,3619,2,2,1,4,0,1,1003,0,5,1,2,0,0,1,1,0,0,0.25,0.473684211,0.333333333,4936,0.878425344,0.413812403,0.301684492,0.413812403,0,0,0,2,0.000136328,0.002114402,0,0.3,0.4,0.8,0.8,0, 
MT208PN41038,2,2,23,2,4,3.12,1,4755,3248,2,2,1,0,0,1,0,0,3,1,2,5,1,0,0,0,0,0.714285714,0.5,0.35,4811,0.884420607,0.313178883,0.389334567,0.313178883,0,0,0,2,0.000135927,0,0,0.8,0.3,0.8,1,0, 
MT208PN41039,2,1,31,2,4,3.2,0,4850,2946,0,2,0,0,0,2,0,0,3,3,0,4,1,0,0,0,0,1.5,0.9,1.5,5106,0.844862463,0.573634863,0.008145293,0.138117114,0.391980817,0.001422856,0,2,0.00015098,0,0,0.5,0.090909091,0.642857143,0.363636364,9, 
MT208PN41040,2,1,21,2,4,3.4,3,4595,2141,0,1,0,0,0,1,0,0,2,1,0,2,2,0,0,0,0, ?,0.5,0.333333333,4623,0.903474014,0.252951033,0.475567522,0.074310474,0.129190297,0.001750731,0.269311524,2,0.000145137,0.257515826,0,0.454545455,0,0.454545455,0.55,12, 
MT208PN41041,1,1,27,2,4,3.76,1,4572,3387,1,2,0,0,0,1,0,0,3,1,2,0,4,0,1,1,0,3,0.428571429,1.4,4541,0.931767071,0.277074999,0.485876115,0.206288682,0.021894355,0.002009111,0.194221247,2,0.000146858,0,0.002480729,0.777777778,0.090909091,0.777777778,0.454545455,3, 
MT208PN41042,1,2,19,2,1,2.7,1,4748,3818,0,1,0,2,0,0,298,0,2,0,1,0,0,0,0,0,0, ?,0.181818182,0.142857143,4560,0.954642522,0.285617305,0.507715152,0.278881526,0.006735779,0,0.022629184,2,0.00012016,0,0,1,0,1,1,21, 
MT208PN41043,2,1,21,2,4,3.1,0,4781,3578,0,2,0,4,0,1,228,0,3,1,1,2,4,2,0,1,0,1.2,1.444444444,1.75,4541,0.955622046,0.731619672,0.094973057,0.196912168,0.522276507,0.012454999,0.004390364,2,0.000129478,0.004404017,0.00910068,0.210526316,0.214285714,0.421052632,0.5,6, 
MT208PN41045,2,1,21,2,4,3.3,1,4823,3569,0,2,0,8,0,1,1260,0,3,2,0,5,9,2,0,0,1,1.5,2,2.4,4490,0.980092391,0.543210572,0.261443941,0.418290487,0.087527654,0.016509694,0,2,0.000108446,0.012536367,0,0.533333333,0.333333333,0.666666667,0.555555556,1, 
MT208PN41048,2,2,19,2,2,3.55,1,4805,2702,0,1,0,13,1,0,1478,152,2,0,0,2,5,0,0,0,1, ?,2.25,2,5492,0.897425762,0.438211081,0.189271102,0.309157074,0.129054007,0,0.072077423,2,0.000310978,0.000913271,0,0.466666667,0,0.533333333,0.111111111,8, 
MT208PN41049,1,1,20,2,4,3.23,0,4423,3719,2,2,1,0,0,0,0,0,4,0,2,0,9,1,0,0,0,1.2,0.875,1,4440,0.930066407,0.505509053,0.318743349,0.237465076,0.268043977,0,0.149974043,2,0.000118692,0,0,0.888888889,0,0.888888889,0.571428571,22, 
MT208PN41050,2,1,21,2,4,3.2,0,4582,2925,0,2,0,3,0,1,170,0,3,1,0,5,5,0,0,0,0,0,1.181818182,0.588235294,4430,0.927511003,0.35559929,0.318956054,0.278527914,0.077071376,0,0.075777764,2,0.000144011,0,0,0.818181818,0,0.909090909,0.842105263,8, 
MT208PN41051,1,1,20,4,2,3.47,1,4358,3123,2,3,1,8,0,0,1022,0,4,0,3,0,9,0,3,0,0,1.8,1.5,1.666666667,4638,0.869068497,0.650096525,0.131894276,0.443692771,0.175446921,0.069671254,0.021296122,3,0.00017505,0,0,0.2,0.363636364,0.6,0.454545455,11, 
